"bubble_tea_id","day","start","end","is_overnight"
"ohosmz6FXVAeoW5nUkYwng",0,"1200","2200",False
"ohosmz6FXVAeoW5nUkYwng",2,"1200","2200",False
"ohosmz6FXVAeoW5nUkYwng",3,"1200","2200",False
"ohosmz6FXVAeoW5nUkYwng",4,"1200","2200",False
"ohosmz6FXVAeoW5nUkYwng",5,"1200","2200",False
"ohosmz6FXVAeoW5nUkYwng",6,"1200","2200",False
"BcekniF1I3xAkONVShohnQ",0,"1100","2300",False
"IzehIGZdpgGSQ3MTQqVORQ",0,"1200","2300",False
"IzehIGZdpgGSQ3MTQqVORQ",1,"1200","2300",False
"IzehIGZdpgGSQ3MTQqVORQ",2,"1200","2300",False
"IzehIGZdpgGSQ3MTQqVORQ",3,"1200","2300",False
"IzehIGZdpgGSQ3MTQqVORQ",4,"1200","2300",False
"IzehIGZdpgGSQ3MTQqVORQ",5,"1200","2300",False
"CPrrjWX6qn8Emyf6yGoKzg",0,"0700","2100",False
"CPrrjWX6qn8Emyf6yGoKzg",1,"0700","2100",False
"CPrrjWX6qn8Emyf6yGoKzg",2,"0700","2100",False
"CPrrjWX6qn8Emyf6yGoKzg",3,"0700","2100",False
"CPrrjWX6qn8Emyf6yGoKzg",4,"0700","2200",False
"CPrrjWX6qn8Emyf6yGoKzg",5,"1100","2200",False
"BcekniF1I3xAkONVShohnQ",1,"1100","2300",False
"BcekniF1I3xAkONVShohnQ",2,"1100","2300",False
"BcekniF1I3xAkONVShohnQ",3,"1100","2300",False
"BcekniF1I3xAkONVShohnQ",4,"1100","2330",False
"BcekniF1I3xAkONVShohnQ",5,"1100","2330",False
"-kIcjMwm6NdMlUZNrUdtOA",0,"0800","2100",False
"-kIcjMwm6NdMlUZNrUdtOA",1,"0800","2100",False
"-kIcjMwm6NdMlUZNrUdtOA",2,"0800","2100",False
"-kIcjMwm6NdMlUZNrUdtOA",3,"0800","2100",False
"-kIcjMwm6NdMlUZNrUdtOA",4,"0800","2100",False
"-kIcjMwm6NdMlUZNrUdtOA",5,"0800","2100",False
"fwO7SDvDWiQ4yh1k2LvcyQ",0,"1130","1900",False
"ohBxvrsJXIGDkely828c2g",1,"1100","2200",False
"ohBxvrsJXIGDkely828c2g",2,"1100","2200",False
"ohBxvrsJXIGDkely828c2g",3,"1100","2200",False
"ohBxvrsJXIGDkely828c2g",4,"1100","2300",False
"ohBxvrsJXIGDkely828c2g",5,"1100","2300",False
"ohBxvrsJXIGDkely828c2g",6,"1100","2200",False
"SHExBQErJFkTZB84M8TNRg",0,"1100","1900",False
"SHExBQErJFkTZB84M8TNRg",1,"1100","1900",False
"SHExBQErJFkTZB84M8TNRg",2,"1100","1900",False
"SHExBQErJFkTZB84M8TNRg",3,"1100","1900",False
"SHExBQErJFkTZB84M8TNRg",4,"1100","1900",False
"SHExBQErJFkTZB84M8TNRg",5,"1100","1900",False
"hFcleprwDx-bv5PdXIT2UA",0,"0900","1800",False
"fwO7SDvDWiQ4yh1k2LvcyQ",1,"1130","1900",False
"lW0RlsoTxHYLjUXlr4LnYQ",0,"0800","1800",False
"fwO7SDvDWiQ4yh1k2LvcyQ",2,"1130","1900",False
"fwO7SDvDWiQ4yh1k2LvcyQ",3,"1130","1900",False
"fwO7SDvDWiQ4yh1k2LvcyQ",4,"1130","2000",False
"fwO7SDvDWiQ4yh1k2LvcyQ",5,"1130","2000",False
"kXrHt3XkNd_q5rISuvuvVg",0,"1100","2130",False
"lW0RlsoTxHYLjUXlr4LnYQ",1,"0800","1800",False
"kXrHt3XkNd_q5rISuvuvVg",1,"1100","2130",False
"kXrHt3XkNd_q5rISuvuvVg",2,"1100","2130",False
